defendants,original values,cases
"1-800-FLOWERS.COM, INC.","1-800-FLOWERS.COM, INC. ET AL",1.0
109 RESTAURANT CORP.,109 RESTAURANT CORP. ET AL,1.0
"1416 CHANCELLOR, INC.","1416 CHANCELLOR, INC. ET AL",1.0
"1ST FIRE & SECURITY,","1ST FIRE & SECURITY, ET AL",1.0
"20/20 COMPANIES, INC.,","20/20 COMPANIES, INC., ET AL.",1.0
"212, LLC","212, LLC ET AL",1.0
"24 HOUR FITNESS USA, INC.","24 HOUR FITNESS USA, INC.",2.0
"24 HOUR FITNESS USA, INC.","24 HOUR FITNESS USA, INC. ET AL",1.0
A2P,A2P,1.0
"AB RESOURCES, LLC","AB RESOURCES, LLC",1.0
ABC DEBT RELIEF LTD CO,ABC DEBT RELIEF LTD CO ET AL,1.0
"ABQ MARKETING GROUP, INC.","ABQ MARKETING GROUP, INC. ET AL",1.0
"ACCOUNT RECEIVABLE MANAGEMENT OF FLORIDA, INC.","ACCOUNT RECEIVABLE MANAGEMENT OF FLORIDA, INC. ET AL",1.0
ACE CASH EXPRESS INC,ACE CASH EXPRESS INC ET AL,1.0
ACE CASH EXPRESS INC,"ACE CASH EXPRESS, INC. ET AL",1.0
"ACI, LLC","ACI, LLC",1.0
AD ASTRA RECOVERY SERVICES INC,AD ASTRA RECOVERY SERVICES INC,1.0
"ADECCO USA, INC.","ADECCO USA, INC.",1.0
"ADVANCE AMERICA, CASH ADVANCE CENTERS OF PENNSYLVANIA, LLC","ADVANCE AMERICA, CASH ADVANCE CENTERS OF PENNSYLVANIA, LLC",1.0
"ADVANCE AMERICA, CASH ADVANCE CENTERS, INC.","ADVANCE AMERICA, CASH ADVANCE CENTERS, INC. ET AL",1.0
"ADVANCED CALL CENTER TECHNOLOGIES, LLC","ADVANCED CALL CENTER TECHNOLOGIES, LLC ET AL",2.0
"ADVANCED CAREGIVERS, LLC","ADVANCED CAREGIVERS, LLC ET AL",1.0
ADVANCED COMMUNICATIONS INC.,ADVANCED COMMUNICATIONS INC. ET AL,1.0
"ADVANTAGE BUILDERS OF AMERICA, INC.","ADVANTAGE BUILDERS OF AMERICA, INC.",1.0
"ADVANTUS LEISURE MANAGEMENT SERVICES, INC.","ADVANTUS LEISURE MANAGEMENT SERVICES, INC. ET AL",1.0
"ADVOCATE MORTGAGE GROUP, INC.","ADVOCATE MORTGAGE GROUP, INC. ET AL",1.0
AEGIS DEFENSE SERVICES LLC,AEGIS DEFENSE SERVICES LLC,1.0
"AETNA, INC.","AETNA, INC. ET AL",1.0
"AIRLIE OPPORTUNITY MASTER FUND, LTD","AIRLIE OPPORTUNITY MASTER FUND, LTD ET AL",2.0
"ALCAN ROLLED PRODUCTS-RAVENSWOOD, L.L.C.","ALCAN ROLLED PRODUCTS-RAVENSWOOD, L.L.C. ET AL",1.0
"ALDERWOODS GROUP, INC.","ALDERWOODS GROUP, INC. ET AL",6.0
ALIENWARE CORPORATION,ALIENWARE CORPORATION,1.0
"ALL TRANSIT, LLC","ALL TRANSIT, LLC ET AL",1.0
ALLIANCE DATA SYSTEMS CORPORATION,ALLIANCE DATA SYSTEMS CORPORATION ET AL,1.0
"ALLIANCE-ONE SERVICES, INC.","ALLIANCE-ONE SERVICES, INC.",1.0
ALLIED HOME MORTGAGE CAPITAL CORPORATION,ALLIED HOME MORTGAGE CAPITAL CORPORATION,2.0
ALLIED INTERNATIONAL CREDIT CORP.,ALLIED INTERNATIONAL CREDIT CORP. ET AL,1.0
ALLIED INTERSTATE INC,ALLIED INTERSTATE INC ET AL,1.0
ALLIED INTERSTATE INC,"ALLIED INTERSTATE, INC",1.0
ALLIED INTERSTATE INC,"ALLIED INTERSTATE, INC. ET AL",1.0
"ALLIED INTERSTATE, LLC","ALLIED INTERSTATE, LLC",1.0
ALLIEDBARTON SECURITY SERVICES LP,ALLIEDBARTON SECURITY SERVICES LP ET AL,1.0
ALLTEL CORPORATION,ALLTEL CORPORATION ET AL,1.0
ALLY FINANCIAL INC.,ALLY FINANCIAL INC.,1.0
"ALORICA, INC.","ALORICA, INC.",1.0
AMAZON SERVICES LLC,AMAZON SERVICES LLC,2.0
"AMCOR RIGID PLASTICS USA, INC.","AMCOR RIGID PLASTICS USA, INC. ET AL",1.0
"AMERICAN DATAMED,","AMERICAN DATAMED, ET AL",1.0
"AMERICAN DEBT SERVICES, INC","AMERICAN DEBT SERVICES, INC ET AL",1.0
"AMERICAN ESCROW, LLC","AMERICAN ESCROW, LLC ET AL",1.0
American Express,American Express,1.0
AMERICAN EXPRESS BANK FSB,AMERICAN EXPRESS BANK FSB ET AL,1.0
AMERICAN EXPRESS CENTURION BANK,AMERICAN EXPRESS CENTURION BANK,2.0
AMERICAN EXPRESS CENTURION BANK,AMERICAN EXPRESS CENTURION BANK ET AL,1.0
AMERICAN EXPRESS CENTURION BANK,"AMERICAN EXPRESS CENTURION BANK, INC.",1.0
AMERICAN EXPRESS COMPANY,AMERICAN EXPRESS COMPANY,3.0
AMERICAN EXPRESS COMPANY,AMERICAN EXPRESS COMPANY ET AL,5.0
AMERICAN EXPRESS PUBLISHING CORPORATION,AMERICAN EXPRESS PUBLISHING CORPORATION,1.0
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",3.0
"AMERICAN EXPRESS TRAVEL RELATED SERVICES, INC.","AMERICAN EXPRESS TRAVEL RELATED SERVICES, INC. ET AL",1.0
AMERICAN FIRST REAL ESTATE SERVICES INC,AMERICAN FIRST REAL ESTATE SERVICES INC ET AL,1.0
"AMERICAN GENERAL FINANCIAL SERVICES, INC.","AMERICAN GENERAL FINANCIAL SERVICES, INC. ET AL",1.0
"AMERICAN GENERAL HOME EQUITY, INC.","AMERICAN GENERAL HOME EQUITY, INC.",1.0
AMERICAN GENERAL LIFE AND ACCIDENT INSURANCE COMPANY,AMERICAN GENERAL LIFE AND ACCIDENT INSURANCE COMPANY ET AL,1.0
"AMERICAN HONDA MOTOR CO., INC.","AMERICAN HONDA MOTOR CO., INC.",1.0
AMERICAN INCOME LIFE INSURANCE COMPANY,AMERICAN INCOME LIFE INSURANCE COMPANY ET AL,1.0
AMERICAN INTERNATIONAL GROUP INC,AMERICAN INTERNATIONAL GROUP INC,1.0
"AMERICAN SHUTTLE, INC","AMERICAN SHUTTLE, INC",1.0
AMERICAN TELEPHONE AND TELEGRAPH COMPANY INC,AMERICAN TELEPHONE AND TELEGRAPH COMPANY INC ET AL,1.0
AMERICOR LENDING GROUP INC,AMERICOR LENDING GROUP INC ET AL,1.0
"AMERICREDIT FINANCIAL SERVICES, INC.","AMERICREDIT FINANCIAL SERVICES, INC.",1.0
"AMERIPATH, INC.","AMERIPATH, INC. ET AL",1.0
AMERIPLAN CORPORATION,AMERIPLAN CORPORATION ET AL,1.0
AMERIPRISE FINANCIAL SERVICES INC,AMERIPRISE FINANCIAL SERVICES INC ET AL,1.0
AMERIPRISE FINANCIAL SERVICES INC,"AMERIPRISE FINANCIAL SERVICES, INC.",3.0
AMERIPRISE FINANCIAL SERVICES INC,"AMERIPRISE FINANCIAL SERVICES, INC. ET AL",1.0
AMERIQUEST MORTGAGE COMPANY,AMERIQUEST MORTGAGE COMPANY ET AL,1.0
AMERISAVE MORTGAGE CORPORATION,AMERISAVE MORTGAGE CORPORATION ET AL,1.0
AMSOUTH BANCORPORATION,AMSOUTH BANCORPORATION,1.0
ANHEUSER-BUSCH INBEV WORLDWIDE INC.,ANHEUSER-BUSCH INBEV WORLDWIDE INC.,1.0
ANTWERPEN MOTORCARS LTD.,ANTWERPEN MOTORCARS LTD. ET AL,1.0
APARTMENT INVESTMENT AND MANAGEMENT COMPANY,APARTMENT INVESTMENT AND MANAGEMENT COMPANY,1.0
APARTMENT INVESTMENT AND MANAGEMENT COMPANY,APARTMENT INVESTMENT AND MANAGEMENT COMPANY ET AL,2.0
"APEX COLLECTIONS, INC.","APEX COLLECTIONS, INC.",1.0
"APL, LTD.","APL, LTD. ET AL",1.0
Apple,Apple,2.0
APPLE COMPUTER INC,APPLE COMPUTER INC ET AL,1.0
APPLE COMPUTER INC,"APPLE COMPUTER, INC. ET AL",3.0
APPLE INC,APPLE INC,2.0
APPLE INC,APPLE INC ET AL,1.0
APPLE INC,APPLE INC. ET AL,6.0
APPLE INC,"APPLE, INC.",2.0
APPLE INC,"APPLE, INC. ET AL",3.0
ARCHSTONE COMMUNITIES LLC,ARCHSTONE COMMUNITIES LLC ET AL,1.0
"ARGOSY EDUCATION GROUP, INC.","ARGOSY EDUCATION GROUP, INC. ET AL",1.0
ARGUS INTERNATIONAL LIFE BERMUDA LIMITED,ARGUS INTERNATIONAL LIFE BERMUDA LIMITED ET AL,1.0
"ARISE VIRTUAL SOLUTIONS, INC.","ARISE VIRTUAL SOLUTIONS, INC.",3.0
ARROW MAGNOLIA INTERNATIONAL LP,ARROW MAGNOLIA INTERNATIONAL LP ET AL,1.0
"ARS NATIONAL SERVICES, INC.","ARS NATIONAL SERVICES, INC.",1.0
"ASSET ACCEPTANCE, LLC","ASSET ACCEPTANCE, LLC",3.0
"ASSET ACCEPTANCE, LLC","ASSET ACCEPTANCE, LLC ET AL",1.0
"ASSOCIATED HEALTH PROFESSIONALS, INC.","ASSOCIATED HEALTH PROFESSIONALS, INC. ET AL",1.0
"ASSURANT, INC.","ASSURANT, INC. ET AL",1.0
"ASTA FUNDING, INC.","ASTA FUNDING, INC. ET AL",1.0
"ASTA FUNDING, INC.","ASTA FUNDING,INC., ET AL",1.0
ASURION CORPORATION,ASURION CORPORATION ET AL,1.0
AT&T MOBILITY LLC,"AT & T MOBILITY, LLC",1.0
AT&T MOBILITY LLC,"AT & T MOBILITY, LLC ET AL",1.0
AT AND T WIRELESS SERVICES INC,AT AND T WIRELESS SERVICES INC,1.0
AT&T CORPORATION,AT&T CORPORATION ET AL,3.0
AT&T INC,AT&T INC ET AL,3.0
AT&T INC,AT&T INC.,1.0
AT&T INC,AT&T INC. ET AL,2.0
AT&T MOBILITY LLC,AT&T MOBILITY,2.0
AT&T MOBILITY CORPORATION,AT&T MOBILITY CORPORATION,1.0
AT&T MOBILITY LLC,AT&T MOBILITY ET AL,2.0
AT&T MOBILITY LLC,AT&T MOBILITY LLC,4.0
AT&T MOBILITY LLC,AT&T MOBILITY LLC ET AL,7.0
"AT&T MOBILITY SERVICES, LLC","AT&T MOBILITY SERVICES, LLC",1.0
AT&T MOBILITY LLC,"AT&T MOBILITY, LLC",5.0
AT&T MOBILITY LLC,"AT&T MOBILITY, LLC ET AL",2.0
"AT&T SERVICES, INC.","AT&T SERVICES, INC.",1.0
AT&T WIRELESS SERVICES INC,AT&T WIRELESS SERVICES INC ET AL,2.0
"ATM NATIONAL, LLC","ATM NATIONAL, LLC ET AL",1.0
AT&T MOBILITY LLC,ATT MOBILITY LLC,1.0
Austin Capital Management,Austin Capital Management,1.0
AUTO KNIGHT MOTOR CLUB INC,AUTO KNIGHT MOTOR CLUB INC,1.0
"AUTOMATIC DATA PROCESSING, INC.","AUTOMATIC DATA PROCESSING, INC.",1.0
AUTONATION INC,AUTONATION INC ET AL,2.0
AUTONATION INC,AUTONATION INC. ET AL,1.0
AUTONATION INC,"AUTONATION,INC.",1.0
"AVANQUEST NORTH AMERICA, INC.","AVANQUEST NORTH AMERICA, INC. ET AL.",1.0
"AVENTURA LIMOUSINE & TRANSPORTATION SERVICE, INC.","AVENTURA LIMOUSINE & TRANSPORTATION SERVICE, INC. ET AL",1.0
"AVENUES MOTIONS, LTD","AVENUES MOTIONS, LTD",1.0
AVID DATING LIFE INC,AVID DATING LIFE INC ET AL,1.0
"AVION SYSTEMS, INC.","AVION SYSTEMS, INC.",1.0
"B. MCDERMOTT ENTERPRISES, INC.","B. MCDERMOTT ENTERPRISES, INC. ET AL",1.0
BALLY TOTAL FITNESS,BALLY TOTAL FITNESS,1.0
BALLY TOTAL FITNESS,BALLY TOTAL FITNESS CORPORATION,2.0
BANCORPSOUTH BANK,BANCORPSOUTH BANK,1.0
BANK OF AMERICA CORPORATION,BANK OF AMERICA CORPORATION,1.0
BANK OF AMERICA CORPORATION,BANK OF AMERICA CORPORATION ET AL,1.0
"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",1.0
"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. ET AL",1.0
"BAR EDUCATION, INC.","BAR EDUCATION, INC.",1.0
BARCLAYS BANK DELEWARE,BARCLAYS BANK DELEWARE,1.0
BARNES AND NOBLE INC,BARNES AND NOBLE INC ET AL,1.0
BAY AREA CREDIT SVC LLC,BAY AREA CREDIT SVC LLC ET AL,1.0
"BAY VIEW LAW GROUP, PC","BAY VIEW LAW GROUP, PC ET AL",1.0
Bayou Hedge Funds,Bayou Hedge Funds,2.0
"BAYVIEW ASSET MANAGEMENT, LLC","BAYVIEW ASSET MANAGEMENT, LLC",1.0
"BBVA COMPASS BANCSHARES, INC.","BBVA COMPASS BANCSHARES, INC.",1.0
"BBVA USA BANCSHARES, INC.","BBVA USA BANCSHARES, INC. ET AL",1.0
BCI COCA-COLA BOTTLING COMPANY OF LOS ANGELES,BCI COCA-COLA BOTTLING COMPANY OF LOS ANGELES,1.0
BCI COCA-COLA BOTTLING COMPANY OF LOS ANGELES,BCI COCA-COLA BOTTLING COMPANY OF LOS ANGELES ET AL,1.0
"BDP INTERNATIONAL, INC.","BDP INTERNATIONAL, INC. ET AL",1.0
"BE, LLC","BE, LLC ET AL",1.0
"BEAR, STEARNS & CO., INC.","BEAR, STEARNS & CO., INC.",1.0
"BEATS MUSIC, LLC","BEATS MUSIC, LLC",1.0
"BELLSOUTH TELECOMMUNICATIONS, INC.","BELLSOUTH TELECOMMUNICATIONS, INC.",1.0
"BENEFICIAL WEST VIRGINIA, INC.","BENEFICIAL WEST VIRGINIA, INC. ET AL",1.0
"BEVERLY ENTERPRISES, INC.","BEVERLY ENTERPRISES, INC. ET AL",1.0
"BF OPERATIONS HOLDINGS, LLC","BF OPERATIONS HOLDINGS, LLC ET AL",1.0
"BI-RITE COMPANY, INC.","BI-RITE COMPANY, INC.",1.0
"BIOMETICS INTERNATIONAL, INC.","BIOMETICS INTERNATIONAL, INC.",1.0
BIRCH COMMUNICATIONS INC,BIRCH COMMUNICATIONS INC,1.0
"BJ’S WHOLESALE CLUB, INC.","BJ’S WHOLESALE CLUB, INC.",1.0
BLIZZARD ENTERTAINMENT INC,BLIZZARD ENTERTAINMENT INC ET AL,1.0
BLOCKBUSTER INC,BLOCKBUSTER INC,1.0
BLOCKBUSTER INC,BLOCKBUSTER INC ET AL,1.0
BLOCKBUSTER INC,"BLOCKBUSTER, INC.",3.0
BLOOMINGDALE’S INC,BLOOMINGDALE’S INC ET AL,1.0
BLUE CROSS BLUE SHIELD ASSOCIATION,BLUE CROSS BLUE SHIELD ASSOCIATION ET AL.,1.0
"BLUE FISH COMMODITIES, INC.","BLUE FISH COMMODITIES, INC. ET AL",1.0
BMO HARRIS BANK N.A.,BMO HARRIS BANK N.A. ET AL,1.0
BMO HARRIS BANK N.A.,BMO HARRIS BANK NATIONAL ASSOCIATION ET AL,1.0
BMO HARRIS BANK N.A.,"BMO HARRIS BANK, N.A.",2.0
BMO HARRIS BANK N.A.,"BMO HARRIS BANK, N.A. ET AL",4.0
BMW OF NORTH AMERICA LLC,BMW OF NORTH AMERICA LLC ET AL,1.0
BRANCH BANK & TRUST COMPANY,BRANCH BANK & TRUST COMPANY,1.0
BRANCH BANKING AND TRUST COMPANY,BRANCH BANKING AND TRUST COMPANY,5.0
BRAYFIELD,BRAYFIELD ET AL,1.0
BRESNAN COMMUNICATIONS,BRESNAN COMMUNICATIONS,1.0
"BRIDGEPOINT EDUCATION, INC.","BRIDGEPOINT EDUCATION, INC. ET AL",1.0
"BRIGHT HOUSE NETWORKS, L.L.C.","BRIGHT HOUSE NETWORKS, L.L.C.",1.0
"BRIGHT HOUSE NETWORKS, L.L.C.","BRIGHT HOUSE NETWORKS, LLC",1.0
"BRILL SECURITIES, INC.","BRILL SECURITIES, INC.",2.0
BRINKER RESTAURANT CORPORATION,BRINKER RESTAURANT CORPORATION ET AL,1.0
BUILDDIRECT.COM TECHNOLOGIES INC,BUILDDIRECT.COM TECHNOLOGIES INC ET AL,1.0
BURNETT,BURNETT ET AL,1.0
"BUSINESS FINANCIAL SERVICES, INC.","BUSINESS FINANCIAL SERVICES, INC. ET AL",1.0
C & L REFRIGERATION CORPORATION,C & L REFRIGERATION CORPORATION ET AL,1.0
"C.B. RESTAURANTS, INC. D/B/A SUGAR’S","C.B. RESTAURANTS, INC. D/B/A SUGAR’S ET AL",1.0
C.H. ROBINSON COMPANY,C.H. ROBINSON COMPANY ET AL,1.0
"C.H. ROBINSON WORLDWIDE, INC.","C.H. ROBINSON WORLDWIDE, INC.",1.0
"C.U. EMPLOYMENT, INC.","C.U. EMPLOYMENT, INC.",1.0
CA HOLDING INC.,CA HOLDING INC. ET AL,1.0
CACH LLC,CACH LLC ET AL,1.0
CACH LLC,"CACH, LLC ET AL",2.0
"CAPITAL MANAGEMENT SERVICES, L.P.","CAPITAL MANAGEMENT SERVICES, L.P. ET AL",1.0
"CAPITAL MANAGEMENT SERVICES, L.P.","CAPITAL MANAGEMENT SERVICES, LP ET AL",1.0
CAPITAL ONE BANK,CAPITAL ONE BANK,1.0
CAPITAL ONE BANK,CAPITAL ONE BANK ET AL,1.0
"CAPITAL ONE SERVICES, INC.","CAPITAL ONE SERVICES, INC.",1.0
CARDWORKS SERVICING LLC,CARDWORKS SERVICING LLC,1.0
CARDWORKS SERVICING LLC,"CARDWORKS SERVICING, LLC",1.0
CARDWORKS SERVICING LLC,"CARDWORKS SERVICING, LLC ET AL",1.0
"CARDWORKS, INC.","CARDWORKS, INC. ET AL",1.0
"CAREER EDUCATION CORPORATION AND INTERNATIONAL ACADEMY OF MERCHANDISING & DESIGN, INC","CAREER EDUCATION CORPORATION AND INTERNATIONAL ACADEMY OF MERCHANDISING & DESIGN, INC",1.0
CAREER EDUCATION CORPORATION,CAREER EDUCATION CORPORATION ET AL,3.0
"CARLYLE/GALAXY SAN PEDRO, L.P.","CARLYLE/GALAXY SAN PEDRO, L.P. ET AL",2.0
"CARMAX AUTO SUPERSTORES CALIFORNIA, LLC","CARMAX AUTO SUPERSTORES CALIFORNIA, LLC",1.0
CARNIVAL CORPORATION,CARNIVAL CORPORATION,2.0
CAROLINA PAYDAY LOANS INC,CAROLINA PAYDAY LOANS INC,1.0
CAROLINA TITLE LOANS INC,CAROLINA TITLE LOANS INC,1.0
Carrier IQ,Carrier IQ,1.0
"CARROLS RESTAURANT GROUP, INC.","CARROLS RESTAURANT GROUP, INC. ET AL",1.0
"CASH AMERICA INTERNATIONAL, INC.","CASH AMERICA INTERNATIONAL, INC. ET AL",3.0
"CASH AMERICA NET OF NEVADA, LLC","CASH AMERICA NET OF NEVADA, LLC",1.0
CASHCALL INC,CASHCALL INC ET AL,1.0
"CASTLE & COOKE HOMES HAWAII, INC.","CASTLE & COOKE HOMES HAWAII, INC. ET AL",1.0
CAVALRY PORTFOLIO SERVICES LLC,CAVALRY PORTFOLIO SERVICES LLC ET AL,1.0
CAVALRY PORTFOLIO SERVICES LLC,"CAVALRY PORTFOLIO SERVICES, L.L.C.",1.0
CAVALRY PORTFOLIO SERVICES LLC,"CAVALRY PORTFOLIO SERVICES, LLC ET AL",3.0
CAVALRY PORTFOLIO SERVICES LLC,"CAVALRY PORTFOLIO SERVICES, LLP ET AL",1.0
"CBS RADIO EAST, INC.","CBS RADIO EAST, INC.",1.0
CCN MANAGED CARE INC,CCN MANAGED CARE INC ET AL,1.0
"CDS CLIENT SERVICES, INC.","CDS CLIENT SERVICES, INC. ET AL",1.0
CECO CONSTRUCTION CONSTRUCTION LLC,CECO CONSTRUCTION CONSTRUCTION LLC,1.0
CELLCO PARTNERSHIP,CELLCO PARTNERSHIP,6.0
CELLCO PARTNERSHIP D/B/A VERIZON WIRELESS,CELLCO PARTNERSHIP D/B/A VERIZON WIRELESS,1.0
CELLCO PARTNERSHIP,CELLCO PARTNERSHIP ET AL,5.0
CELLCO PARTNERSHIP,"CELLCO PARTNERSHIP, ET AL",1.0
"CELLULAR SALES OF NEW YORK, LLC","CELLULAR SALES OF NEW YORK, LLC ET AL",1.0
"CENTEX HOME EQUITY COMPANY, LLC","CENTEX HOME EQUITY COMPANY, LLC ET AL",1.0
CENTRAL REFRIGERATED SERVICES INC,CENTRAL REFRIGERATED SERVICES INC ET AL,1.0
CENTURY NEGOTIATIONS INC,CENTURY NEGOTIATIONS INC ET AL,1.0
"CEVA LOGISTICS U.S., INC.","CEVA LOGISTICS U.S., INC. ET AL",1.0
CF ENTERTAINMENT,CF ENTERTAINMENT ET AL,2.0
"CHAMBERLIN EDMONDS & ASSOC., INC.","CHAMBERLIN EDMONDS & ASSOC., INC.",1.0
CHAN,CHAN ET AL,1.0
CHASE BANK USA NA,CHASE BANK USA NA ET AL,1.0
CHASE BANK USA NA,"CHASE BANK USA, N. A.",1.0
CHASE BANK USA NA,"CHASE BANK USA, N.A.",9.0
CHASE BANK USA NA,"CHASE BANK USA, N.A. ET AL",1.0
CHASE BANK USA NA,"CHASE BANK USA, NA ET AL",1.0
CHASE HOME FINANCE LLC,CHASE HOME FINANCE LLC,2.0
CHASE INVESTMENT SERVICES CORP,CHASE INVESTMENT SERVICES CORP ET AL,1.0
CHASE INVESTMENT SERVICES CORP,CHASE INVESTMENT SERVICES CORP.,1.0
"CHASE STUDENT LOAN SERVICING, LLC","CHASE STUDENT LOAN SERVICING, LLC",1.0
CHATHAM CARLSBAD HS LLC,CHATHAM CARLSBAD HS LLC ET AL,1.0
Checking Account,Checking Account,1.0
CHEMED CORPORATION,CHEMED CORPORATION ET AL,1.0
"CHILDREN EMPORIUM, LLC","CHILDREN EMPORIUM, LLC ET AL",1.0
CHIPIO WINDSHIELD,CHIPIO WINDSHIELD ET AL,1.0
CHIPOCO,CHIPOCO ET AL,1.0
CHRYSLER GROUP LLC,CHRYSLER GROUP LLC,2.0
"CHUBB INSTITUTE, THE","CHUBB INSTITUTE, THE ET AL",1.0
CHUNGHWA PICTURE TUBES,CHUNGHWA PICTURE TUBES,1.0
CIGNA CORPORATION,CIGNA CORPORATION,1.0
CIGNA CORPORATION,CIGNA CORPORATION ET AL,1.0
"CINGULAR AMERITECH MOBILE COMMUNICATIONS, L. L. C.","CINGULAR AMERITECH MOBILE COMMUNICATIONS, L. L. C.",1.0
CINGULAR WIRELESS L.L.C.,CINGULAR WIRELESS,1.0
CINGULAR WIRELESS L.L.C.,CINGULAR WIRELESS CORPORATION ET AL,2.0
CINGULAR WIRELESS L.L.C.,CINGULAR WIRELESS L.L.C. ET AL,1.0
CINGULAR WIRELESS L.L.C.,CINGULAR WIRELESS LLC,1.0
CINGULAR WIRELESS L.L.C.,CINGULAR WIRELESS LLC ET AL,5.0
CINGULAR WIRELESS L.L.C.,"CINGULAR WIRELESS, LLC",4.0
CITI,CITI ET AL,1.0
"CITI HOLDINGS, INC.","CITI HOLDINGS, INC.",1.0
CITI TRENDS INC,CITI TRENDS INC,1.0
Citibank,Citibank,1.0
CITIBANK (SOUTH DAKOTA) NA,CITIBANK (SOUTH DAKOTA) NA,1.0
CITIBANK (SOUTH DAKOTA) NA,CITIBANK (SOUTH DAKOTA) NA ET AL,1.0
CITIBANK (SOUTH DAKOTA) NA,"CITIBANK (SOUTH DAKOTA), N.A.",1.0
CITIBANK (SOUTH DAKOTA) NA,"CITIBANK (SOUTH DAKOTA), N.A. ET AL",2.0
"CITIBANK, N.A.",CITIBANK NA ET AL,2.0
"CITIBANK, N.A.","CITIBANK, N.A.",2.0
"CITIBANK, N.A.","CITIBANK, N.A. ET AL",4.0
"CITICORP CREDIT SERVICES, INC.","CITICORP CREDIT SERVICES, INC.",1.0
"CITICORP CREDIT SERVICES, INC.","CITICORP CREDIT SERVICES, INC. (USA)",1.0
"CITICORP INSURANCE SERVICES, INC.","CITICORP INSURANCE SERVICES, INC. ET AL",1.0
"CITICORP NORTH AMERICA, INC.","CITICORP NORTH AMERICA, INC. ET AL",1.0
CITICORP TRUST BANK,CITICORP TRUST BANK ET AL,1.0
